id,itemId,classFamily,classType,dependentId,createdAt,updatedAt
4663236,355237692,workflow,invocable method,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663237,355237693,asynchronous,batch,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663238,355237694,controller,lwc controller,355248732,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663239,355237694,controller,lwc controller,355249746,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663240,355237696,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663241,355237697,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663242,355237698,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663243,355237703,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663244,355237704,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663245,355237705,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663246,355237708,workflow,invocable method,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663247,355237709,controller,lwc controller,355249753,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663248,355237712,controller,lightning data transfer object,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663249,355237713,workflow,invocable method,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663250,355237714,controller,lwc controller,355248735,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663251,355237715,asynchronous,schedulable,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663252,355237716,controller,page controller,355256791,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663253,355237716,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663254,355237717,workflow,invocable method,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
