metadataName,scanName,itemName,id,metadataId,itemId,type,description,line,column,severity,rule,category,engine,url,problem,name,label,createdAt,updatedAt
11855,12909,355248700,150386043,11855,355248700,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,1218,loadingPage.js,loadingPage,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247057,150384828,11855,355247057,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,1,abortAnalysisButton.js,abortAnalysisButton,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247057,150384829,11855,355247057,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,2,abortAnalysisButton.js,abortAnalysisButton,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247061,150384830,11855,355247061,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,3,abortAnalysisModal.js,abortAnalysisModal,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247061,150384831,11855,355247061,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,4,abortAnalysisModal.js,abortAnalysisModal,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247065,150384832,11855,355247065,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,5,abortFailedSyncDialog.js,abortFailedSyncDialog,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247065,150384833,11855,355247065,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,6,abortFailedSyncDialog.js,abortFailedSyncDialog,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247068,150384834,11855,355247068,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,7,abortingModal.js,abortingModal,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247068,150384835,11855,355247068,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,8,abortingModal.js,abortingModal,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247070,150384836,11855,355247070,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,9,abortingModalPo.js,abortingModalPo,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
