id,itemId,label,description,interviewLabel,status,isActive,objectName,triggerType,recordTriggerType,processType,builderType,apiName,namespace,sobjectId,createdAt,updatedAt
1761823,355246266,Fetch Order History,,FetchOrderHistory {!$Flow.CurrentDateTime},Active,true,,,,AutoLaunchedFlow,LightningFlowBuilder,FetchOrderHistory,,,2026-05-04T00:43:50.266Z,2026-05-04T00:43:50.266Z
1761824,355246267,Fetch Support History,,FetchSupportHistory {!$Flow.CurrentDateTime},Active,true,,,,AutoLaunchedFlow,LightningFlowBuilder,FetchSupportHistory,,,2026-05-04T00:43:50.266Z,2026-05-04T00:43:50.266Z
1761825,355246268,Fetch User Profile,,FetchUserProfile {!$Flow.CurrentDateTime},Active,true,,,,AutoLaunchedFlow,LightningFlowBuilder,FetchUserProfile,,,2026-05-04T00:43:50.266Z,2026-05-04T00:43:50.266Z
1761826,355246269,Finalize Onboarding,,FinalizeOnboarding {!$Flow.CurrentDateTime},Active,true,,,,AutoLaunchedFlow,LightningFlowBuilder,FinalizeOnboarding,,,2026-05-04T00:43:50.266Z,2026-05-04T00:43:50.266Z
1761827,355246294,Loyalty External Services,,Loyalty External Services {!$Flow.CurrentDateTime},Active,true,,,,Flow,LightningFlowBuilder,Loyalty_External_Services,,,2026-05-04T00:43:50.266Z,2026-05-04T00:43:50.266Z
1761828,355246295,MB_TSP_Log_ListView_Record_Access,Used in conjunction with TSP to record user access in List Views,MB_TSP_ {!$Flow.CurrentDateTime},Draft,false,ListViewEventStream,PlatformEvent,,AutoLaunchedFlow,LightningFlowBuilder,MB_TSP,,,2026-05-04T00:43:50.266Z,2026-05-04T00:43:50.266Z
1761829,355246342,testflow,,testflow {!$Flow.CurrentDateTime},InvalidDraft,false,,Capability,,PromptFlow,LightningFlowBuilder,testflow,,,2026-05-04T00:43:50.266Z,2026-05-04T00:43:50.266Z
1761830,355246246,Add To Cart,,AddToCart {!$Flow.CurrentDateTime},Active,true,,,,AutoLaunchedFlow,LightningFlowBuilder,AddToCart,,,2026-05-04T00:43:50.266Z,2026-05-04T00:43:50.266Z
1761831,355246247,Address Change Flow,Use this flow to quickly change an Account's billing or shipping address.  This will write to the MDM (Heroku) to provide account address history details using MuleSoft.  Then Salesforce Connect will display the account address changes back in Salesforce.,Address Change Flow {!$Flow.CurrentDateTime},Active,true,,,,Flow,LightningFlowBuilder,Address_Change_Flow,,,2026-05-04T00:43:50.266Z,2026-05-04T00:43:50.266Z
1761832,355246248,Analyze Billing Issue,,,Active,true,,,,AutoLaunchedFlow,LightningFlowBuilder,AnalyzeBillingIssue,,,2026-05-04T00:43:50.266Z,2026-05-04T00:43:50.266Z
1761833,355246249,Analyze Technical Issue,,,Active,true,,,,AutoLaunchedFlow,LightningFlowBuilder,AnalyzeTechnicalIssue,,,2026-05-04T00:43:50.266Z,2026-05-04T00:43:50.266Z
1761834,355246250,Assess Churn Risk,,AssessChurnRisk {!$Flow.CurrentDateTime},Active,true,,,,AutoLaunchedFlow,LightningFlowBuilder,AssessChurnRisk,,,2026-05-04T00:43:50.266Z,2026-05-04T00:43:50.266Z
1761835,355246251,Award Loyalty Points,,AwardLoyaltyPoints {!$Flow.CurrentDateTime},Active,true,,,,AutoLaunchedFlow,LightningFlowBuilder,AwardLoyaltyPoints,,,2026-05-04T00:43:50.266Z,2026-05-04T00:43:50.266Z
1761836,355246252,Calculate Customer Value,,CalculateCustomerValue {!$Flow.CurrentDateTime},Active,true,,,,AutoLaunchedFlow,LightningFlowBuilder,CalculateCustomerValue,,,2026-05-04T00:43:50.266Z,2026-05-04T00:43:50.266Z
