id,name,label,count,createdAt,updatedAt
2069243,MC_0Zu2w0000007aqlCAA_0aJ2w000000Kq44EAC,Experience Admin,1,2026-05-04T00:47:36.068Z,2026-05-04T00:47:36.068Z
2069244,All_Customer_Portal_Users,All Customer Portal Users,1,2026-05-04T00:47:36.068Z,2026-05-04T00:47:36.068Z
2069245,Tier_1_Queue,Tier 1 Queue,10,2026-05-04T00:47:36.068Z,2026-05-04T00:47:36.068Z
2069246,Tier_2_Queue,Tier 2 Queue,10,2026-05-04T00:47:36.068Z,2026-05-04T00:47:36.068Z
2069247,Tier_3_Queue,Tier 3 Queue,10,2026-05-04T00:47:36.068Z,2026-05-04T00:47:36.068Z
2069248,MC_0ZuIg000000g7SjKAI,All Roles Group 0ZuIg000000g7Sj,4,2026-05-04T00:47:36.068Z,2026-05-04T00:47:36.068Z
2069249,MC_0ZuIg000000g7SjKAI_0aJ2w000000Kq3zEAC,Content Admin,1,2026-05-04T00:47:36.068Z,2026-05-04T00:47:36.068Z
2069250,eBikes_Admins,eBikes Admins,5,2026-05-04T00:47:36.068Z,2026-05-04T00:47:36.068Z
2069251,MC_0ZuIg000000Xi4uKAC_0aJ2w000000Kq3zEAC,Content Admin,1,2026-05-04T00:47:36.068Z,2026-05-04T00:47:36.068Z
2069252,MC_0ZuIg000000Xi4uKAC,All Roles Group 0ZuIg000000Xi4u,3,2026-05-04T00:47:36.068Z,2026-05-04T00:47:36.068Z
