label,id,name,description,publisherName,namespacePrefix,majorVersion,minorVersion,patchVersion,buildNumber,releaseState,isDeprecated,isManaged,isPasswordProtected,isSecurityReviewed,salesforceId,salesforceVersionId,isOrgDependent,isValid,packageVersionDescription,packageVersionName,package2ContainerOptions,isBeta,packageType,packageId,packageVersionId,installDate,isOutdated,latestVersion,createdAt,updatedAt
Einstein Playground,379153,Einstein Playground,,Salesforce,einsteinplay,1,34,0,1,Released,false,true,false,true,0330b0000009s7hAAA,04t0b000001jm1xAAA,false,true,"The Einstein Vision and Language Model Builder is a UI layered on top of Einstein’s integrated REST APIs for Einstein . It enables you to more quickly upload datasets, train deep learning models and test the performance of those models through an easy-to-use GUI.",Winter 21,,false,,6,1862,2023-01-17T00:19:35.000Z,true,1.35.0.4,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
Streaming Monitor,379154,Streaming Monitor,A Lightning app for monitoring streaming events,Salesforce,smon,3,19,0,1,Released,false,true,false,true,0331t000000Po8NAAS,04tJ5000000gQFxIAM,false,true,"A Lightning app for monitoring streaming events: PushTopic, generic, platform events, CDC events and monitoring events.",Winter '26 release,,false,,1006,17120,2023-01-17T00:19:35.000Z,false,3.19.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
Salesforce Connected Apps,379155,Salesforce Connected Apps,"This package contains Connected Applications for all the officially supported Salesforce client applications such as Touch, Salesforce for Outlook, Salesforce Mobile Dashboards, and more!",Salesforce.com,sf_com_apps,1,7,0,1,Released,false,true,false,false,03330000000wDAbAAM,04t30000001DUvrAAG,false,true,,Winter '16,,false,,149,221,2023-01-17T00:19:35.000Z,false,1.7.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
Salesforce Mobile Apps,379156,Salesforce Mobile Apps,This package contains connected applications for the officially supported Salesforce Mobile Apps,Salesforce.com,sf_chttr_apps,1,24,0,1,Released,false,true,false,true,03330000001Ig8MAAS,04t4V000001i8c0QAA,false,true,,Summer 2025,,false,,150,15859,2023-02-24T20:47:28.000Z,false,1.24.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
SalesforceIQ Cloud,379157,SalesforceIQ Cloud,"This tool will create a secure connection between Core Salesforce and SalesforceIQ infrastructure to pull data into the machine learning platform where advanced models will score entities (example, Leads).",Salesforce,SIQCloud,1,0,0,1,Released,false,true,false,true,03336000000GVxjAAG,04t36000000adDUAAY,false,true,,SIQCloud OAuth,,false,,161,227,2023-01-17T00:19:35.000Z,false,1.0.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
Org Check,379158,Org Check,Org Check is an easy-to-install and easy-to-use Salesforce application in order to quickly analyze your org and its technical debt. Find more information at https://sfdc.co/OrgCheck,VinceFINET corporation,orgcheck,7,6,0,1,Released,false,true,false,true,0333V0000004Pb8QAE,04tQy000000RVMHIA4,false,true,Org Check is an easy-to-install and easy-to-use Salesforce application in order to quickly analyze your org and its technical debt.,Nitrogen,,false,,1181,19556,2025-10-14T15:48:54.000Z,false,7.6.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
p13n-data-kit-pack,379159,p13n-data-kit-pack,,Salesforce,sf_persnl,1,2,0,1,Released,false,true,false,true,0333X000000YiIeQAK,04t3X000003E4lZQAS,false,true,depends on v. 1.52 of the SSOT package,ver 1.2.x,Managed,false,Managed,4391,8664,2024-10-12T18:22:51.000Z,true,1.10.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
Data Mask,379160,Data Mask,,Salesforce,datamask,6,1,0,1,Released,false,true,false,true,0333k000000KkrQAAS,04tKV000002AhJ9YAK,false,true,Automated created version: 6.1,6.1,,false,,184,15577,2023-01-17T00:19:35.000Z,false,6.1.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
Applicants,379161,Applicants,Applicants Object,Salesforce Demo,,1,1,0,1,,false,false,false,false,0333k000000kRPvAAM,04t3k000001mPPwAAM,false,true,,Applicants v1.1,,false,Unmanaged,185,255,,false,1.1.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
Salesforce Privacy Center,379162,Salesforce Privacy Center,,Salesforce Customer 360 Privacy Center,privacycenter,1,324,0,1,Released,false,true,false,true,0333t0000006wilAAA,04t3t0000037udAAAQ,false,true,,1.324,,false,,188,10339,2023-01-17T00:19:35.000Z,false,1.324.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
