id,name,status,totalLicenses,usedLicenses,remainingLicenses,expirationDate,type,apiName,createdAt,updatedAt
830777,Scale Center,Active,5,3,2,,Permission Set Licenses,ScaleCenterPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830670,Analytics Cloud Integration User,Active,2,2,0,,User Licenses,INSIGHTS_INTEGRATION_USER,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830671,Authenticated Website,Active,5,0,5,,User Licenses,PLATFORM_PORTAL,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830672,Authenticated Website,Active,5,0,5,,User Licenses,Platform_Portal_User,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830673,B2BMA Integration User,Active,1,1,0,,User Licenses,PID_B2bmaIntegration,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830674,Bronze Partner,Active,50,0,50,,User Licenses,PID_BASIC_PRM,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830675,Chatter External,Active,500,0,500,,User Licenses,CSN_External_User,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830676,Chatter Free,Active,5000,1,4999,,User Licenses,CSN_User,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830677,Chatter Only,Active,50,0,50,,User Licenses,PID_CHATTER,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830678,Company Communities,Active,50,0,50,,User Licenses,PID_COMPANY_COMMUNITIES,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830679,Content Only,Active,50,0,50,,User Licenses,PID_CONTENT,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830680,Customer Community,Active,50,4,46,,User Licenses,PID_Customer_Community,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830681,Customer Community Login,Active,50,0,50,,User Licenses,PID_Customer_Community_Login,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830682,Customer Community Plus,Active,30,0,30,,User Licenses,PID_Customer_Community_Plus,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830683,Customer Portal Manager,Active,50,0,50,,User Licenses,POWER_SSP,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830684,Customer Portal Manager Custom,Active,50,0,50,,User Licenses,PID_Customer_Portal_Standard,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830685,Customer Portal Manager Standard,Active,50,0,50,,User Licenses,PID_Customer_Portal_Basic,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830686,Customer Portal User,Active,50,0,50,,User Licenses,SSP,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830687,Database.com Light,Active,50,0,50,,User Licenses,PID_DBCLIGHTUSER,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830688,Database.com User,Active,50,0,50,,User Licenses,PID_DBCUSER,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830689,Force.com - App Subscription,Active,50,0,50,,User Licenses,FDC_SUB,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830690,Force.com - Free,Active,50,0,50,,User Licenses,PID_FDC_FREE,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830691,Force.com - One App,Active,50,0,50,,User Licenses,FDC_ONE,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830692,Gold Partner,Active,50,0,50,,User Licenses,PID_STRATEGIC_PRM,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830693,High Volume Customer Portal,Active,50,1,49,,User Licenses,High_Volume_Customer_Portal_User,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830694,High Volume Customer Portal,Active,50,0,50,,User Licenses,HIGH_VOLUME_PORTAL,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830695,High Volume Portal,Active,50,0,50,,User Licenses,CSP_LITE_PORTAL,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830696,Identity,Active,100,0,100,,User Licenses,PID_Identity_User,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830697,Internal Portal User,Active,50,0,50,,User Licenses,Internal_Portal_User,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830698,Knowledge Only,Active,50,0,50,,User Licenses,PID_KNOWLEDGE,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
