id,name,max,remaining,createdAt,updatedAt
655251,ActiveScratchOrgs,3,3,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655252,AnalyticsExternalDataSizeMB,40960,40960,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655253,CdpAiInferenceApiMonthlyLimit,500000000,500000000,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655254,ConcurrentAsyncGetReportInstances,200,200,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655255,ConcurrentEinsteinDataInsightsStoryCreation,5,5,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655256,ConcurrentEinsteinDiscoveryStoryCreation,2,2,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655257,ConcurrentSyncReportRuns,20,20,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655258,ContentDistBandwidthLimitMB,51200,51200,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655259,ContentDistViewLimit,50000,50000,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655260,ContentPublicationLimit,2500,2405,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655261,DailyAnalyticsDataflowJobExecutions,60,60,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655262,DailyAnalyticsUploadedFilesSizeMB,51200,51189,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655263,DailyApexCursorLimit,10000,10000,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655264,DailyApexCursorRowsLimit,100000000,100000000,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655265,DailyApexPCursorLimit,200000,200000,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655266,DailyApiRequests,135000,132548,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
