label,id,itemId,name,count,apiName,description,userLicense,editReadonlyFields,manageLoginAccessPolicies,managePasswordPolicies,manageProfilesPermissionsets,manageRoles,manageSharing,manageUsers,modifyAllData,resetPasswords,viewAllData,exportReport,dataExport,modifyAllPermission,apiEnabled,authorApex,canApproveUninstalledApps,namespace,isCustom,createdAt,updatedAt
Agent Script Recipes App,2706430,355256965,Agent Script Recipes App,1,Agent_Script_Recipes_App,Grants access to the Agent Script Recipes app,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.412Z
AgentforceVibes Access,2706432,355256967,AgentforceVibes Access,0,AgentforceVibes_Access,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
Archive,2706433,355256968,Archive,6,Archive,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.422Z
Case Feed,2706434,355256969,Case Feed,1,Case_Feed,Enables Case feed by user,Salesforce,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.426Z
Code Builder Package,2706435,355256970,Code Builder Package,2,CodeBuilder__CodeBuilder,Enables the user to access Code Builder package.,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,CodeBuilder,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.429Z
Coral Cloud Agent Permissions,2706436,355256971,Coral Cloud Agent Permissions,1,Coral_Cloud_Agent_Permissions,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.433Z
Coral Cloud Portal User,2706437,355256972,Coral Cloud Portal User,0,Coral_Cloud_Portal_User,,Customer Community Login,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
Coral Clouds,2706438,355256973,Coral Clouds,1,Coral_Clouds,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.436Z
Custom Metrics,2706439,355256974,Custom Metrics,0,Custom_Metrics,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
DD,2706440,355256975,DD,1,DD,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.439Z
Data Detect,2706441,355256976,Data Detect,1,Data_Detect,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.442Z
Data Detect PS,2706442,355256977,Data Detect PS,0,Data_Detect_PS,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
Digital Wallet,2706443,355256978,Digital Wallet,1,Digital_Wallet,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.445Z
