metadataName,scanName,itemName,id,metadataId,itemId,problem,line,ruleset,rule,priority,description,type,column,engine,url,name,label,createdAt,updatedAt
11855,12909,355237692,144983764,11855,355237692,1,1,Documentation,ApexDoc,3,Missing ApexDoc comment,class,21,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,AIGeneratedSummary.cls,AIGeneratedSummary,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237692,144983765,11855,355237692,2,3,Code Style,FieldNamingConventions,1,The instance field name 'AIGeneratedFeedback' doesn't match '[a-z][a-zA-Z0-9]*',class,19,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#fieldnamingconventions,AIGeneratedSummary.cls,AIGeneratedSummary,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237692,144983766,11855,355237692,3,5,Code Style,FieldNamingConventions,1,The instance field name 'AIGeneratedSentiment' doesn't match '[a-z][a-zA-Z0-9]*',class,19,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#fieldnamingconventions,AIGeneratedSummary.cls,AIGeneratedSummary,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237692,144983767,11855,355237692,4,7,Code Style,FieldNamingConventions,1,The instance field name 'ProductId' doesn't match '[a-z][a-zA-Z0-9]*',class,19,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#fieldnamingconventions,AIGeneratedSummary.cls,AIGeneratedSummary,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237692,144983768,11855,355237692,5,13,Documentation,ApexDoc,3,Missing ApexDoc comment,class,19,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,AIGeneratedSummary.cls,AIGeneratedSummary,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237693,144983769,11855,355237693,6,1,Documentation,ApexDoc,3,Missing ApexDoc comment,class,8,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,AccountContactInserter.cls,AccountContactInserter,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237693,144983770,11855,355237693,7,3,Documentation,ApexDoc,3,Missing ApexDoc comment,class,12,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,AccountContactInserter.cls,AccountContactInserter,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237693,144983771,11855,355237693,8,3,Code Style,FormalParameterNamingConventions,1,The method parameter name 'BC' doesn't match '[a-z][a-zA-Z0-9]*',class,40,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#formalparameternamingconventions,AccountContactInserter.cls,AccountContactInserter,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237693,144983772,11855,355237693,9,8,Documentation,ApexDoc,3,Missing ApexDoc comment,class,12,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,AccountContactInserter.cls,AccountContactInserter,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237693,144983773,11855,355237693,10,8,Code Style,FormalParameterNamingConventions,1,The method parameter name 'BC' doesn't match '[a-z][a-zA-Z0-9]*',class,25,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#formalparameternamingconventions,AccountContactInserter.cls,AccountContactInserter,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237693,144983774,11855,355237693,11,40,Documentation,ApexDoc,3,Missing ApexDoc comment,class,12,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,AccountContactInserter.cls,AccountContactInserter,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
