id,label,itemId,objectApiName,createdAt,updatedAt
996865,Company,355250715,Account,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996866,Billing_Inquiry,355251570,Case,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996867,General_Inquiry,355251571,Case,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996868,Technical_Issue,355251572,Case,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996869,InternalIdeasIdeaRecordType,355252792,Idea,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996870,Record_type_for_community_09a15000000TS5kAAG_entity_Idea,355252793,Idea,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996871,Record_type_for_community_09a15000000TS5pAAG_entity_Idea,355252794,Idea,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996872,OB_Archiver__Archiving_Policy,355253469,OB_Archiver__ArchivingPolicy__c,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996873,OB_Archiver__Purge_Policy,355253470,OB_Archiver__ArchivingPolicy__c,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996874,PersonAccount,355253794,PersonAccount,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996875,sc_ext__PEA_Exclusion,355255641,sc_ext__Dismissal__c,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996876,sc_ext__Security_Insights_Component,355255642,sc_ext__Dismissal__c,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996877,sc_ext__Security_Insights_Component_Row,355255643,sc_ext__Dismissal__c,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996878,sc_ext__DC_Fields,355255710,sc_ext__Filter_Set__c,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996879,sc_ext__DC_Objects,355255711,sc_ext__Filter_Set__c,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996880,sc_ext__Permission,355255760,sc_ext__Risk_Configuration__c,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996881,sc_ext__PEA_Exclusion,355255842,sc_ext__Tag__c,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996882,shield_ext__PEA_Exclusion,355256418,shield_ext__Dismissal__c,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996883,shield_ext__Security_Insights_Component,355256419,shield_ext__Dismissal__c,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996884,shield_ext__Security_Insights_Component_Row,355256420,shield_ext__Dismissal__c,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996885,shield_ext__DC_Fields,355256487,shield_ext__Filter_Set__c,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996886,shield_ext__DC_Objects,355256488,shield_ext__Filter_Set__c,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996887,shield_ext__Permission,355256537,shield_ext__Risk_Configuration__c,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
996888,shield_ext__PEA_Exclusion,355256619,shield_ext__Tag__c,2026-05-04T00:45:13.307Z,2026-05-04T00:45:13.307Z
