id,label,apiName,description,category,baseObject,sobjectId,autogenerated,itemId,namespace,createdAt,updatedAt
8746827,Repositories,CustomEntity$sf_devops__Repository__c,,Other Reports,,,,,,2026-05-04T00:43:48.976Z,2026-05-04T00:43:48.976Z
8746519,Accounts with Entitlements with Contacts,Accounts_with_Entitlements_with_Contacts,Show entitlements with named callers or users by accounts.,accounts,Account,6220806,false,355257133,,2026-05-04T00:43:47.880Z,2026-05-04T00:43:47.880Z
8746520,Articles Views,Articles_Views,Knowledge Articles,cases,KnowledgeArticle,,false,355257134,,2026-05-04T00:43:47.880Z,2026-05-04T00:43:47.880Z
8746521,Articles Votes,Articles_Votes,Knowledge Articles Votes,cases,KnowledgeArticle,,false,355257135,,2026-05-04T00:43:47.880Z,2026-05-04T00:43:47.880Z
8746522,Bot Metrics Daily Spring '24,Bot_Metrics_Daily_v6,Einstein Bot metrics aggregated by day.,other,ConvDefDialogDailyMetric,,false,355257136,,2026-05-04T00:43:47.880Z,2026-05-04T00:43:47.880Z
8746523,Bot Metrics Hourly Spring '24,Bot_Metrics_Hourly_v6,Einstein Bot metrics aggregated by hour.,other,ConvDefDialogHourlyMetric,,false,355257137,,2026-05-04T00:43:47.880Z,2026-05-04T00:43:47.880Z
8746524,Session Metrics Spring '24,Bot_Sessions_v6,Einstein Bot session metrics,other,ConversationDefinitionSession,,false,355257138,,2026-05-04T00:43:47.880Z,2026-05-04T00:43:47.880Z
8746525,Entity Definitions,Entity_Definitions,entities,other,EntityDefinition,,false,355257139,,2026-05-04T00:43:47.880Z,2026-05-04T00:43:47.880Z
8746526,GenAIGatewayRequest with GenAIGeneration,GenAIGatewayRequest_with_GenAIGeneration,Custom Data Cloud report type for relationship between GenAIGatewayRequest and GenAIGeneration,data_cloud,GenAIGatewayRequest__dlm,,false,355257140,,2026-05-04T00:43:47.880Z,2026-05-04T00:43:47.880Z
8746527,GenAIGatewayResponse with GenAIContentCategory,GenAIGatewayResponse_with_GenAIContentCategory,Custom Data Cloud report type for relationship between GenAIGatewayResponse and GenAIContentCategory,data_cloud,GenAIGatewayResponse__dlm,,false,355257141,,2026-05-04T00:43:47.880Z,2026-05-04T00:43:47.880Z
8746528,Partner Fund Requests and Partner Fund Claims,MDF_Claim_Request_Crt,Report on market development fund requests and fund claims from partners.,other,PartnerFundRequest,6221065,false,355257142,,2026-05-04T00:43:47.880Z,2026-05-04T00:43:47.880Z
8746529,Products and eBikeSales,Producta_and_eBikeSales,Products and eBike Sales,other,Product__c,6221089,false,355257143,,2026-05-04T00:43:47.880Z,2026-05-04T00:43:47.880Z
