id,label,apiName,reportSfId,namespacePrefix,description,format,scope,folderApiName,folderName,reportTypeName,lastViewedDate,lastReferencedDate,lastRunDate,createdDate,itemId,reportTypeId,namespace,createdAt,updatedAt
62302938,All Bot Sessions Last 30 days,AllBotSessionsLast30Days_v6,00OIg000001BTBHMA4,,All bot sessions by day for last 30 days,Summary,organization,EBotR_v6,Einstein Bot Reports Spring '24,Bot_Sessions_v6__c,2026-04-30T22:31:19.000Z,2026-04-30T22:31:19.000Z,,2024-11-12T22:20:18.000Z,355257179,,,2026-05-04T00:43:48.061Z,2026-05-04T00:43:49.307Z
62302941,Article Chosen Last 30 Days,ArticleChosenLast30Days_v6,00OIg000001BTBAMA4,,The number of articles selected from articles served by Article Answers in each bot for the last 30 days.,Summary,organization,EBotR_v6,Einstein Bot Reports Spring '24,Bot_Metrics_Daily_v6__c,,,,2024-11-12T22:20:17.000Z,355257182,,,2026-05-04T00:43:48.061Z,2026-05-04T00:43:49.316Z
62302942,Article Chosen Today,ArticleChosenToday_v6,00OIg000001BTBFMA4,,The number of articles selected from articles served by Article Answers in each bot today.,Summary,organization,EBotR_v6,Einstein Bot Reports Spring '24,Bot_Metrics_Hourly_v6__c,,,,2024-11-12T22:20:17.000Z,355257183,,,2026-05-04T00:43:48.061Z,2026-05-04T00:43:49.319Z
62302943,Article Feedback Last 30 Days,ArticlePositiveFeeLast30Days_v6,00OIg000001BTAWMA4,,A count of positive feedback received on each article selected from articles served by Article Answers in the last 30 days.,Summary,organization,EBotR_v6,Einstein Bot Reports Spring '24,Bot_Metrics_Daily_v6__c,,,,2024-11-12T22:20:12.000Z,355257184,,,2026-05-04T00:43:48.061Z,2026-05-04T00:43:49.322Z
62302944,Article Feedback Today,ArticlePositiveFeedbackToday_v6,00OIg000001BTBBMA4,,A count of positive feedback received on each article selected from articles served by Article Answers today.,Summary,organization,EBotR_v6,Einstein Bot Reports Spring '24,Bot_Metrics_Hourly_v6__c,,,,2024-11-12T22:20:17.000Z,355257185,,,2026-05-04T00:43:48.061Z,2026-05-04T00:43:49.325Z
62302945,Boolean Extraction Rate Last 30 Days,BooleanExtractedLast30Days_v6,00OIg000001BTB1MAO,,A count of successful (yes or no) and unsuccessful (neutral) boolean entity extraction attempts by bot in the last 30 days. A relatively high count of neutral responses can indicate an opportunity to improve bot design.,Summary,organization,EBotR_v6,Einstein Bot Reports Spring '24,Bot_Metrics_Daily_v6__c,,,,2024-11-12T22:20:16.000Z,355257186,,,2026-05-04T00:43:48.061Z,2026-05-04T00:43:49.328Z
62302946,Boolean Extraction Rate Today,BooleanExtractedToday_v6,00OIg000001BTAhMAO,,A count of successful (yes or no) and unsuccessful (neutral) boolean entity extraction attempts by bot today. A relatively high count of neutral responses can indicate an opportunity to improve bot design.,Summary,organization,EBotR_v6,Einstein Bot Reports Spring '24,Bot_Metrics_Hourly_v6__c,,,,2024-11-12T22:20:13.000Z,355257187,,,2026-05-04T00:43:48.061Z,2026-05-04T00:43:49.331Z
62302947,Transfer to Bots by Dialog Last 30 Days,BotTransferByDialoLast30Days_v6,00OIg000001BTAgMAO,,A count of bot-to-bot transfers by dialog and by bot that initiated the transfer in the last 30 days.,Summary,organization,EBotR_v6,Einstein Bot Reports Spring '24,Bot_Metrics_Daily_v6__c,,,,2024-11-12T22:20:13.000Z,355257188,,,2026-05-04T00:43:48.061Z,2026-05-04T00:43:49.335Z
62302948,Transfer to Bots by Dialog Today,BotTransferByDialogToday_v6,00OIg000001BTAzMAO,,A count of bot-to-bot transfers by dialog and by bot that initiated the transfer today.,Summary,organization,EBotR_v6,Einstein Bot Reports Spring '24,Bot_Metrics_Hourly_v6__c,,,,2024-11-12T22:20:16.000Z,355257189,,,2026-05-04T00:43:48.061Z,2026-05-04T00:43:49.338Z
62302949,Transfers Last 30 Days,BotTransferFrequenLast30Days_v6,00OIg000001BTB3MAO,,A count of transfers to bots or agents by bot in the last 30 days.,Summary,organization,EBotR_v6,Einstein Bot Reports Spring '24,Bot_Metrics_Daily_v6__c,,,,2024-11-12T22:20:16.000Z,355257190,,,2026-05-04T00:43:48.061Z,2026-05-04T00:43:49.341Z
62302950,Transfers Today,BotTransferFrequencyToday_v6,00OIg000001BTB4MAO,,A count of transfers to bots or agents by bot today.,Summary,organization,EBotR_v6,Einstein Bot Reports Spring '24,Bot_Metrics_Hourly_v6__c,,,,2024-11-12T22:20:16.000Z,355257191,,,2026-05-04T00:43:48.061Z,2026-05-04T00:43:49.344Z
62302952,Sessions with Completed Goals Today,CompletedGoalSessionToday_v6,00OIg000001BTAjMAO,,A count of engaged sessions with at least one completed goal by goal name and by bot today.,Summary,organization,EBotR_v6,Einstein Bot Reports Spring '24,Bot_Metrics_Hourly_v6__c,,,,2024-11-12T22:20:13.000Z,355257193,,,2026-05-04T00:43:48.061Z,2026-05-04T00:43:49.350Z
62302953,Goals Completed by Dialog Last 30 Days,CompletedGoalsByDiLast30Days_v6,00OIg000001BTAVMA4,,A count of goals completed by dialog name and by bot in the last 30 days.,Summary,organization,EBotR_v6,Einstein Bot Reports Spring '24,Bot_Metrics_Daily_v6__c,,,,2024-11-12T22:20:11.000Z,355257194,,,2026-05-04T00:43:48.061Z,2026-05-04T00:43:49.353Z
62302954,Goals Completed by Dialog Today,CompletedGoalsByDialogToday_v6,00OIg000001BTAlMAO,,A count of goals completed by dialog name and by bot today.,Summary,organization,EBotR_v6,Einstein Bot Reports Spring '24,Bot_Metrics_Hourly_v6__c,,,,2024-11-12T22:20:13.000Z,355257195,,,2026-05-04T00:43:48.061Z,2026-05-04T00:43:49.356Z
62302955,Goals Completed by Goal Last 30 Days,CompletedGoalsByGoLast30Days_v6,00OIg000001BTAeMAO,,A count of goals completed by goal name and by bot in the last 30 days.,Summary,organization,EBotR_v6,Einstein Bot Reports Spring '24,Bot_Metrics_Daily_v6__c,,,,2024-11-12T22:20:12.000Z,355257196,,,2026-05-04T00:43:48.061Z,2026-05-04T00:43:49.359Z
62302957,Confusion Frequency Last 30 Days,ConfusionFrequencyLast30Days_v6,00OIg000001BTBIMA4,,The number of times a bot got confused and the last dialog that the user was on for the last 30 days.,Summary,organization,EBotR_v6,Einstein Bot Reports Spring '24,Bot_Metrics_Daily_v6__c,,,,2024-11-12T22:20:18.000Z,355257198,,,2026-05-04T00:43:48.061Z,2026-05-04T00:43:49.365Z
62302958,Confusion Frequency Today,ConfusionFrequencyToday_v6,00OIg000001BTAmMAO,,The number of times a bot got confused and the last dialog that the user was on for today.,Summary,organization,EBotR_v6,Einstein Bot Reports Spring '24,Bot_Metrics_Hourly_v6__c,,,,2024-11-12T22:20:13.000Z,355257199,,,2026-05-04T00:43:48.061Z,2026-05-04T00:43:49.368Z
62302960,Dialogs Canceled Today,DialogCanceledToday_v6,00OIg000001BTAxMAO,,"A count of dialogs canceled by the user per bot today. In a canceled dialog, a user enters a new dialog without completing the current dialog or ending the conversation.",Summary,organization,EBotR_v6,Einstein Bot Reports Spring '24,Bot_Metrics_Hourly_v6__c,,,,2024-11-12T22:20:15.000Z,355257201,,,2026-05-04T00:43:48.061Z,2026-05-04T00:43:49.373Z
62302961,Dialogs Completed Last 30 Days,DialogCompletedLast30Days_v6,00OIg000001BTAuMAO,,"A count of dialogs completed by the user per bot in the last 30 days. In a completed dialog, the user completes all steps of a dialog and enters the next dialog.",Summary,organization,EBotR_v6,Einstein Bot Reports Spring '24,Bot_Metrics_Daily_v6__c,,,,2024-11-12T22:20:15.000Z,355257202,,,2026-05-04T00:43:48.061Z,2026-05-04T00:43:49.377Z
