id,riskType,setting,settingGroup,orgValue,standardValue,durableId,settingRiskCategory,createdAt,updatedAt
409223,HIGH_RISK,Lock sessions to the domain in which they were first used,SessionSettings,Disabled,Enabled,SessionSettings.lockSessionsToDomain,HIGH_RISK,2026-05-04T00:41:39.753Z,2026-05-04T00:41:39.753Z
409224,HIGH_RISK,Enable clickjack protection for customer Visualforce pages with standard headers,SessionSettings,Disabled,Enabled,SessionSettings.clickjackVisualForceHeaders,HIGH_RISK,2026-05-04T00:41:39.753Z,2026-05-04T00:41:39.753Z
409225,HIGH_RISK,Enable clickjack protection for customer Visualforce pages with headers disabled,SessionSettings,Disabled,Enabled,SessionSettings.clickjackVisualForceNoHeaders,HIGH_RISK,2026-05-04T00:41:39.753Z,2026-05-04T00:41:39.753Z
409226,HIGH_RISK,Require HttpOnly attribute,SessionSettings,Disabled,Enabled,SessionSettings.requireHttpOnly,HIGH_RISK,2026-05-04T00:41:39.753Z,2026-05-04T00:41:39.753Z
409227,HIGH_RISK,Expired Certificate,CertificateAndKeyManagement,3,0,CertificateAndKeyManagement.expiredCert,HIGH_RISK,2026-05-04T00:41:39.753Z,2026-05-04T00:41:39.753Z
409228,HIGH_RISK,MFA Enabled,Identity,false,true,Identity.mfaEnabled,HIGH_RISK,2026-05-04T00:41:39.753Z,2026-05-04T00:41:39.753Z
409229,HIGH_RISK,Maximum invalid login attempts,PasswordPolicies,No Limit,3,PasswordPolicies.maxLoginAttempts,HIGH_RISK,2026-05-04T00:41:39.753Z,2026-05-04T00:41:39.753Z
409230,HIGH_RISK,Number of Objects with Default External Access Set to Public,SharingSettings,11,0,SharingSettings.orgWideDefaults,HIGH_RISK,2026-05-04T00:41:39.753Z,2026-05-04T00:41:39.753Z
409231,MEETS_STANDARD,Let users verify their identity by text (SMS),SessionSettings,Enabled,Enabled,SessionSettings.enableSmsIdentity,HIGH_RISK,2026-05-04T00:41:39.753Z,2026-05-04T00:41:39.753Z
409232,MEETS_STANDARD,Enable clickjack protection for Setup pages,SessionSettings,Enabled,Enabled,SessionSettings.clickjackSetup,HIGH_RISK,2026-05-04T00:41:39.753Z,2026-05-04T00:41:39.753Z
409233,MEETS_STANDARD,Enable clickjack protection for non-Setup Salesforce pages,SessionSettings,Enabled,Enabled,SessionSettings.clickjackNonSetup,HIGH_RISK,2026-05-04T00:41:39.753Z,2026-05-04T00:41:39.753Z
409234,MEETS_STANDARD,Enable CSRF protection on GET requests on non-setup pages,SessionSettings,Enabled,Enabled,SessionSettings.csrfGet,HIGH_RISK,2026-05-04T00:41:39.753Z,2026-05-04T00:41:39.753Z
409235,MEETS_STANDARD,Enable CSRF protection on POST requests on non-setup pages,SessionSettings,Enabled,Enabled,SessionSettings.csrfPost,HIGH_RISK,2026-05-04T00:41:39.753Z,2026-05-04T00:41:39.753Z
409236,MEETS_STANDARD,Number of security risk file types with Hybrid behavior,FileUploadAndDownloadSecurity,0 security risk file types with Hybrid behavior,0 security risk file types with Hybrid behavior,FileUploadAndDownloadSecurity.hybridSecurityRiskFileTypes,HIGH_RISK,2026-05-04T00:41:39.753Z,2026-05-04T00:41:39.753Z
409237,MEETS_STANDARD,Number of trusted IP ranges,NetworkSecurity,1,1,NetworkSecurity.trustedIpRangesConfigured,HIGH_RISK,2026-05-04T00:41:39.753Z,2026-05-04T00:41:39.753Z
409238,MEETS_STANDARD,Allow access to External Client App consumer secrets via Metadata API,ExternalClientApps,false,false,ExternalClientApps.metadataApiAccess,HIGH_RISK,2026-05-04T00:41:39.753Z,2026-05-04T00:41:39.753Z
409239,HIGH_RISK,Enforce login IP ranges on every request,SessionSettings,Disabled,Enabled,SessionSettings.enforceLoginIp,MEDIUM_RISK,2026-05-04T00:41:39.753Z,2026-05-04T00:41:39.753Z
