label,id,itemId,name,count,custom,userLicense,editReadonlyFields,manageLoginAccessPolicies,managePasswordPolicies,manageProfilesPermissionsets,manageRoles,manageSharing,manageUsers,modifyAllData,resetPasswords,viewAllData,exportReport,dataExport,modifyAllPermission,apiEnabled,authorApex,canApproveUninstalledApps,createdAt,updatedAt
System Administrator,577341,355257064,System Administrator,1,false,Salesforce,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.119Z
Analytics Cloud Integration User,577342,355257065,Analytics Cloud Integration User,1,false,Analytics Cloud Integration User,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.123Z
Analytics Cloud Security User,577343,355257066,Analytics Cloud Security User,1,false,Analytics Cloud Integration User,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.127Z
Anypoint Integration,577344,355257067,Anypoint Integration,0,false,Identity,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.130Z
Authenticated Website,577345,355257068,Authenticated Website,0,false,Authenticated Website,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.133Z
B2BMA Integration User,577346,355257069,B2BMA Integration User,1,false,B2BMA Integration User,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.136Z
Bronze Partner User,577347,355257070,Bronze Partner User,0,false,Bronze Partner,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.139Z
CSPLite,577348,355257071,CSPLite,0,false,High Volume Portal,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.142Z
Chatter External User,577349,355257072,Chatter External User,0,false,Chatter External,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.145Z
Chatter Free User,577350,355257073,Chatter Free User,1,false,Chatter Free,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.148Z
Chatter Moderator User,577351,355257074,Chatter Moderator User,0,false,Chatter Free,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.151Z
Chatter Only User,577352,355257075,Chatter Only User,0,false,Chatter Only,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.154Z
Communication Preferences (apex form) Profile,577353,355257076,Communication Preferences (apex form) Profile,1,true,Guest User License,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.157Z
Company Communities User,577354,355257077,Company Communities User,0,false,Company Communities,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.160Z
Content Only User,577355,355257078,Content Only User,0,false,Content Only,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.163Z
ContractManager,577356,355257079,ContractManager,0,false,Salesforce,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.166Z
Cross Org Data Proxy User,577357,355257080,Cross Org Data Proxy User,0,false,XOrg Proxy User,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.169Z
Custom-Customer Portal Manager,577358,355257081,Custom-Customer Portal Manager,0,true,Customer Portal Manager Custom,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.173Z
Customer Community Login User,577359,355257082,Customer Community Login User,0,false,Customer Community Login,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.176Z
Customer Community Plus User,577360,355257083,Customer Community Plus User,0,false,Customer Community Plus,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.179Z
Customer Community User,577361,355257084,Customer Community User,3,false,Customer Community,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.182Z
Customer Portal Manager Custom,577362,355257085,Customer Portal Manager Custom,0,false,Customer Portal Manager Custom,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.186Z
Customer Portal Manager Standard,577363,355257086,Customer Portal Manager Standard,0,false,Customer Portal Manager Standard,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.188Z
Customer Profile,577364,355257087,Customer Profile,1,true,Guest User License,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.192Z
CustomerManager,577365,355257088,CustomerManager,0,false,Customer Portal Manager,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.195Z
CustomerUser,577366,355257089,CustomerUser,0,false,Customer Portal User,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.198Z
Database.com Light User,577367,355257090,Database.com Light User,0,false,Database.com Light,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.201Z
Database.com User,577368,355257091,Database.com User,0,false,Database.com User,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.204Z
Force.com - App Subscription User,577369,355257092,Force.com - App Subscription User,0,false,Force.com - App Subscription,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.207Z
Force.com - Free User,577370,355257093,Force.com - Free User,0,false,Force.com - Free,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.210Z
Force.com - One App User,577371,355257094,Force.com - One App User,0,false,Force.com - One App,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.213Z
Gold Partner User,577372,355257095,Gold Partner User,0,false,Gold Partner,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.216Z
Guest License User,577373,355257096,Guest License User,0,false,Guest User License,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.219Z
Guest,577374,355257097,Guest,0,false,Guest,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.222Z
High Volume Customer Portal User,577375,355257098,High Volume Customer Portal User,1,false,High Volume Customer Portal,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.225Z
HighVolumePortal,577376,355257099,HighVolumePortal,0,false,High Volume Customer Portal,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.228Z
Identity User,577377,355257100,Identity User,0,false,Identity,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.232Z
Integration Profile X,577378,355257101,Integration Profile X,0,true,Salesforce,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.235Z
Internal Portal User,577379,355257102,Internal Portal User,0,false,Internal Portal User,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.238Z
Knowledge Only User,577380,355257103,Knowledge Only User,0,false,Knowledge Only,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.241Z
MB Customer Community User,577381,355257104,MB Customer Community User,1,true,Customer Community,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.244Z
MarketingProfile,577382,355257105,MarketingProfile,0,false,Salesforce,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.247Z
Minimum Access - API Only Integrations,577383,355257106,Minimum Access - API Only Integrations,3,false,Salesforce Integration,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.250Z
System Administrator Clone,577384,355257129,System Administrator Clone,7,true,Salesforce,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.253Z
Minimum Access - Salesforce,577385,355257107,Minimum Access - Salesforce,0,false,Salesforce,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.257Z
Overage Authenticated Website User,577386,355257108,Overage Authenticated Website User,0,false,Overage Authenticated Website,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.260Z
Partner App Subscription User,577387,355257109,Partner App Subscription User,0,false,Partner App Subscription,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.263Z
Partner Community Login User,577388,355257110,Partner Community Login User,1,false,Partner Community Login,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.266Z
Partner Community User,577389,355257111,Partner Community User,0,false,Partner Community,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.269Z
Partner Profile,577390,355257112,Partner Profile,1,true,Guest User License,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.272Z
Partner,577391,355257113,Partner,0,false,Partner,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.275Z
PlatformPortal,577392,355257114,PlatformPortal,0,false,Authenticated Website,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.278Z
Preferences Profile,577393,355257115,Preferences Profile,1,true,Guest User License,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.281Z
Read Only,577394,355257116,Read Only,0,true,Salesforce,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.284Z
Sales Insights Integration User,577395,355257117,Sales Insights Integration User,1,false,Sales Insights Integration User,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.287Z
Salesforce API Only System Integrations,577396,355257118,Salesforce API Only System Integrations,0,true,Salesforce Integration,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.290Z
SalesforceIQ Integration User,577397,355257119,SalesforceIQ Integration User,1,false,SalesforceIQ Integration User,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.293Z
Service,577398,355257120,Service,3,true,Salesforce,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.297Z
