id,itemId,label,apiName,apiNameLower,type,customSettingType,isReportable,description,namespace,isQueryable,recordCount,setupUrl,lastUsedDate,recordsCreatedOrUpdatedLast90Days,recordsCreatedOrUpdatedLast365Days,internalSharingModel,externalSharingModel,usageQueryFailed,last90DaysUsageQueryFailed,last365DaysUsageQueryFailed,lastUsedDateQueryFailed,createdAt,updatedAt
6220784,355250527,AITestSuiteRunJob,AITestSuiteRunJob,aitestsuiterunjob,Standard Object,,false,,,false,,,,,,ControlledByParent,ControlledByParent,,,,,2026-05-04T00:41:58.015Z,2026-05-04T00:41:58.015Z
6220785,355250528,AITestSuiteWorkbookAssoc,AITestSuiteWorkbookAssoc,aitestsuiteworkbookassoc,Standard Object,,false,,,false,,,,,,Private,Private,,,,,2026-05-04T00:41:58.015Z,2026-05-04T00:41:58.015Z
6220786,355250529,AIWorkbook,AIWorkbook,aiworkbook,Standard Object,,false,,,false,,,,,,Private,Private,,,,,2026-05-04T00:41:58.015Z,2026-05-04T00:41:58.015Z
6220787,355250530,AIWorksheet,AIWorksheet,aiworksheet,Standard Object,,false,,,false,,,,,,ControlledByParent,ControlledByParent,,,,,2026-05-04T00:41:58.015Z,2026-05-04T00:41:58.015Z
6220788,355250531,AIWorksheetCell,AIWorksheetCell,aiworksheetcell,Standard Object,,false,,,false,,,,,,ControlledByParent,ControlledByParent,,,,,2026-05-04T00:41:58.015Z,2026-05-04T00:41:58.015Z
6220789,355250532,AIWorksheetColRelation,AIWorksheetColRelation,aiworksheetcolrelation,Standard Object,,false,,,false,,,,,,ControlledByParent,ControlledByParent,,,,,2026-05-04T00:41:58.015Z,2026-05-04T00:41:58.015Z
6220790,355250533,AIWorksheetColumn,AIWorksheetColumn,aiworksheetcolumn,Standard Object,,false,,,false,,,,,,ControlledByParent,ControlledByParent,,,,,2026-05-04T00:41:58.015Z,2026-05-04T00:41:58.015Z
6220791,355250534,AIWorksheetRow,AIWorksheetRow,aiworksheetrow,Standard Object,,false,,,false,,,,,,ControlledByParent,ControlledByParent,,,,,2026-05-04T00:41:58.015Z,2026-05-04T00:41:58.015Z
6220793,355250542,Cart Item,ASR_Cart_Item__c,asr_cart_item__c,Custom Object,,false,Item in the Shopping Cart,,true,0,https://mbdxdodemo.my.salesforce.com/lightning/setup/ObjectManager/01IIg000000HA26/view,,0,0,ControlledByParent,ControlledByParent,false,false,false,,2026-05-04T00:41:58.015Z,2026-05-04T00:48:44.736Z
6220795,355250554,Customer Onboarding,ASR_Customer_Onboarding__c,asr_customer_onboarding__c,Custom Object,,false,,,true,0,https://mbdxdodemo.my.salesforce.com/lightning/setup/ObjectManager/01IIg000000HA28/view,,0,0,ReadWrite,Private,false,false,false,,2026-05-04T00:41:58.015Z,2026-05-04T00:48:44.780Z
6220797,355250569,Financial Account,ASR_Financial_Account__c,asr_financial_account__c,Custom Object,,false,Financial Account for Error Handling,,true,0,https://mbdxdodemo.my.salesforce.com/lightning/setup/ObjectManager/01IIg000000HA2A/view,,0,0,ReadWrite,Private,false,false,false,,2026-05-04T00:41:58.015Z,2026-05-04T00:48:44.789Z
6220798,355250573,Hotel Booking,ASR_Hotel_Booking__c,asr_hotel_booking__c,Custom Object,,false,,,true,1,https://mbdxdodemo.my.salesforce.com/lightning/setup/ObjectManager/01IIg000000HA2B/view,2026-03-06T00:54:14.000Z,1,1,ReadWrite,Private,false,false,false,false,2026-05-04T00:41:58.015Z,2026-05-04T00:48:44.792Z
