label,id,itemId,name,objectName,isActive,beforeInsert,afterInsert,beforeUpdate,afterUpdate,beforeDelete,afterDelete,afterUndelete,namespace,apiVersion,sobjectId,createdAt,updatedAt
AccountTrigger.trigger,1541283,355257949,AccountTrigger.trigger,Account,true,false,false,false,true,false,false,false,,63,6220806,2026-05-04T00:47:01.327Z,2026-05-04T00:47:01.327Z
MB_Root_LevelTrigger.trigger,1541284,355257951,MB_Root_LevelTrigger.trigger,MB_Root_Level__c,true,false,false,true,false,false,false,false,,65,6221013,2026-05-04T00:47:01.327Z,2026-05-04T00:47:01.327Z
MobileEmailEventTrigger.trigger,1541285,355257952,MobileEmailEventTrigger.trigger,MobileEmailEvent,true,false,true,false,false,false,false,false,,51,,2026-05-04T00:47:01.327Z,2026-05-04T00:47:01.327Z
MobileEnforcedPolicyEventTrigger.trigger,1541286,355257953,MobileEnforcedPolicyEventTrigger.trigger,MobileEnforcedPolicyEvent,true,false,true,false,false,false,false,false,,51,,2026-05-04T00:47:01.327Z,2026-05-04T00:47:01.327Z
MobileScreenshotEventTrigger.trigger,1541287,355257954,MobileScreenshotEventTrigger.trigger,MobileScreenshotEvent,true,false,true,false,false,false,false,false,,51,,2026-05-04T00:47:01.327Z,2026-05-04T00:47:01.327Z
MobileTelephonyEventTrigger.trigger,1541288,355257955,MobileTelephonyEventTrigger.trigger,MobileTelephonyEvent,true,false,true,false,false,false,false,false,,51,,2026-05-04T00:47:01.327Z,2026-05-04T00:47:01.327Z
TravelRequestTriggerHandler.trigger,1541289,355257959,TravelRequestTriggerHandler.trigger,Travel_Request__c,true,false,true,false,true,false,false,false,,57,6221190,2026-05-04T00:47:01.327Z,2026-05-04T00:47:01.327Z
trgWine.trigger,1541290,355257985,trgWine.trigger,Wines__c,true,false,true,false,true,false,false,false,,58,6221207,2026-05-04T00:47:01.327Z,2026-05-04T00:47:01.327Z
CodeBuilder__Workspaces.trigger,1541291,355257950,CodeBuilder__Workspaces.trigger,CodeBuilder__Workspace__c,true,true,true,true,true,true,true,false,CodeBuilder,51,6220878,2026-05-04T00:47:01.327Z,2026-05-04T00:47:01.327Z
OB_Archiver__ArchiveConfigurationTrigger.trigger,1541292,355257956,OB_Archiver__ArchiveConfigurationTrigger.trigger,OB_Archiver__Archive_Configuration__c,true,false,true,false,true,false,false,false,OB_Archiver,58,6221042,2026-05-04T00:47:01.327Z,2026-05-04T00:47:01.327Z
OB_Archiver__ArchiveLogsTrigger.trigger,1541293,355257957,OB_Archiver__ArchiveLogsTrigger.trigger,OB_Archiver__ArchiveLog__c,true,false,false,true,false,false,false,false,OB_Archiver,58,6221040,2026-05-04T00:47:01.327Z,2026-05-04T00:47:01.327Z
